nombre;categoria;rvc;epochs;language;enlace;nombre2;rvc2;epochs2;language2;enlace2;nombre3;rvc3;epochs3;language3;enlace3;nombre4;rvc4;epochs4;language4;enlace4;nombre5;rvc5;epochs5;language5;enlace5;nombre6;rvc6;epochs6;language6;enlace6;nombre7;rvc7;epochs7;language7;enlace7;nombre8;rvc8;epochs8;language8;enlace8;nombre9;rvc9;epochs9;language9;enlace9;nombre10;rvc10;epochs10;language10;enlace10
Chad Dickson [Numbuh 274];KND;RVC;250;;https://huggingface.co/MusicBox27/KidsNextDoorRVC/resolve/main/ChadDickson.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHAERYEONG;Singer;RVC2;450;;https://huggingface.co/leeloli/chaeryeong/blob/main/chaeryeong.zip;CHAERYEONG;RVC2;400;;https://huggingface.co/leeloli/chaeyoung/blob/main/chaeyoung.zip;CHAERYEONG;RVC2;800;;https://huggingface.co/leeloli/chaeyoung-by-leelo/resolve/main/chaeyoung.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chamber - VALORANT (EN) (RVC v2) 500 Epochs;Valorant;RVC2;500;English;https://huggingface.co/lafual/Chamber_V2/resolve/main/Chamber.zip;Chamber ;RVC2;250;Russian;https://huggingface.co/XaZorck/Chamber/resolve/main/Chamber.zip;Chamber ;RVC2;500;Spanish;https://huggingface.co/Xavier2213/Chamber/resolve/main/Chambersito.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charles Aznavour;Singer;RVC2;250;;https://huggingface.co/Lumaah/CharlesAznavour/resolve/main/CharlesAznavour.zip;Charles Aznavour;RVC2;250;;https://huggingface.co/Lumaah/CharlesAznavour/blob/main/CharlesAznavourV2.zip;Charles Aznavour;RVC;800;;https://huggingface.co/agusroccohd/charlesazvanour/resolve/main/charlesaznavour3.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charles de Gaulle - RVC V2 - 250 Epochs;Politician;RVC2;500;;https://huggingface.co/rayzox57/Charles_de_Gaulle_RVC/resolve/main/CharlesDeGaulle_v2_250e.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charles Leclerc;;;;;https://models.weights.gg/cl16.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlie Brown;Peanuts;RVC2;500;;https://huggingface.co/joeldabest638/CharlieBrown/resolve/main/charliebrown.zip;Charlie Brown Murders ;RVC2, RMVPE;120;;https://huggingface.co/GuilStuf/CharlieBrownMurders/resolve/main/charliebrownmurders.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlie Chaplin;Actor;RVC2;280;;https://huggingface.co/Albinator/Charlie-Chaplin/resolve/main/Charlie%20Chaplin.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlie Moringstar;Hazbin Hotel;RVC2, RMVPE, OV2;200;Português;https://huggingface.co/BunnyToon/charliemorningstar-br/resolve/main/charliemorningstar-br.zip?download=true;Charlie Moringstar;RVC2;100;;https://huggingface.co/Loren85/Charlie-MorningStar-New-Voice/resolve/main/Charlie-New-Voice-.zip;Charlie Moringstar;RVC2, OV2;150;;https://huggingface.co/ScruffyRVC/RFCRVCV2/resolve/main/CharlieMorningstar.zip?download=true;Charlie Moringstar;RVC2, OV2;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlie Puth - Attention (Drums) (RIN_E3 Pretrain, RMVPE, 300 Epochs);Singer;RMVPE;300;;https://huggingface.co/RegalHyperus/rvc-v2-drum-models/resolve/main/AttentionDrums.zip?download=true;Charlie Puth ;RMVPE;250;;https://huggingface.co/Sztef/Teemo_Omega_Squad1/resolve/main/CharliePuthBySztef.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
